,Unnamed: 0,Woonplaatsen,Provincie,Landsdeel,Gemeente,Lattitude,Longitude,Population,Coordinates
1693,1735,Heemstede,Noord-Holland,West-Nederland           ,Heemstede                          ,52.35,4.616666666666667,27341,"['52° 21′ NB, 4° 37′ OL']"
1694,1736,Heerhugowaard,Noord-Holland,West-Nederland           ,Heerhugowaard                      ,52.66666666666666,4.85,58018,"['52° 40′ NB, 4° 51′ OL']"
1695,1737,Heiloo,Noord-Holland,West-Nederland           ,Heiloo                             ,52.60111111111111,4.701944444444447,24100,"['52°36\'4""NB, 4°42\'7""OL']"
1696,1738,Den Helder,Noord-Holland,West-Nederland           ,Den Helder                         ,52.95,4.766666666666667,56388,"52° 57′ NB, 4° 46′ OL"
1699,1741,Hilversum,Noord-Holland,West-Nederland           ,Hilversum                          ,52.21666666666667,5.183333333333334,91110,"['52° 13′ NB, 5° 11′ OL']"
1702,1744,Hoofddorp,Noord-Holland,West-Nederland           ,Haarlemmermeer                     ,52.3,4.666666666666667,75595,"['52° 18′ NB, 4° 40′ OL']"
1705,1747,Hoorn,Noord-Holland,West-Nederland           ,Hoorn                              ,52.63333333333333,5.05,73360,"['52° 38′ NB, 5° 3′ OL']"
1708,1750,Huizen,Noord-Holland,West-Nederland           ,Huizen                             ,52.298888888888904,5.253055555555553,41104,"['52°17\'56""NB, 5°15\'11""OL']"
1709,1751,IJmuiden,Noord-Holland,West-Nederland           ,Velsen                             ,52.46666666666667,4.616666666666667,31925,"['52° 28′ NB, 4° 37′ OL']"
1713,1755,Julianadorp,Noord-Holland,West-Nederland           ,Den Helder                         ,52.88333333333333,4.733333333333333,14520,"52° 53′ NB, 4° 44′ OL"
1717,1761,Koog aan de Zaan,Noord-Holland,West-Nederland           ,Zaanstad                           ,52.46666666666667,4.8,11260,"52° 28′ NB, 4° 48′ OL"
1720,1764,Krommenie,Noord-Holland,West-Nederland           ,Zaanstad                           ,52.5,4.766666666666667,17190,"['52° 30′ NB, 4° 46′ OL']"
1725,1769,Landsmeer,Noord-Holland,West-Nederland           ,Landsmeer                          ,52.42916666666667,4.913611111111112,11573,"['52°25\'45""NB, 4°54\'49""OL']"
1726,1770,Laren,Noord-Holland,West-Nederland           ,Laren                              ,52.25444444444447,5.2316666666666665,11355,"['52°15\'16""NB, 5°13\'54""OL']"
1744,1788,Naarden,Noord-Holland,West-Nederland           ,Gooise Meren                       ,52.28333333333333,5.15,17685,"['52° 17′ NB, 5° 9′ OL']"
1748,1792,Nieuw-Vennep,Noord-Holland,West-Nederland           ,Haarlemmermeer                     ,52.26666666666666,4.633333333333333,31555,"['52° 16′ NB, 4° 38′ OL']"
1762,1806,Opmeer,Noord-Holland,West-Nederland           ,Opmeer                             ,52.7,4.966666666666667,11967,"['52° 42′ NB, 4° 58′ OL']"
1775,1822,Purmerend,Noord-Holland,West-Nederland           ,Purmerend                          ,52.5,4.966666666666667,81775,"[""52°30'NB, 4°58'OL""]"
1782,1829,Schagen,Noord-Holland,West-Nederland           ,Schagen                            ,52.78333333333333,4.8,19020,"['52° 47′ NB, 4° 48′ OL']"
1805,1854,Uitgeest,Noord-Holland,West-Nederland           ,Uitgeest                           ,52.52888888888889,4.71,13643,"['52°31\'44""NB, 4°42\'36""OL']"
1806,1855,Uithoorn,Noord-Holland,West-Nederland           ,Uithoorn                           ,52.241944444444435,4.825,29817,"['52°14\'31""NB, 4°49\'30""OL']"
1811,1861,Velserbroek,Noord-Holland,West-Nederland           ,Velsen                             ,52.43333333333333,4.65,15480,"['52° 26′ NB, 4° 39′ OL']"
1815,1865,Volendam,Noord-Holland,West-Nederland           ,Edam-Volendam                      ,52.5,5.066666666666666,22505,"['52° 30′ NB, 5° 4′ OL']"
1822,1872,Weesp,Noord-Holland,West-Nederland           ,Weesp                              ,52.51666666666666,5.05,20219,"['52° 31′ NB, 5° 3′ OL']"
1837,1888,Wormer,Noord-Holland,West-Nederland           ,Wormerland                         ,52.5,4.816666666666666,12995,"['52° 30′ NB, 4° 49′ OL']"
1838,1889,Wormerveer,Noord-Holland,West-Nederland           ,Zaanstad                           ,52.5,4.783333333333333,11340,"['52° 30′ NB, 4° 47′ OL']"
1840,1891,Zaandam,Noord-Holland,West-Nederland           ,Zaanstad                           ,52.45,4.833333333333333,78275,"['52° 27′ NB, 4° 50′ OL']"
1843,1894,Zandvoort,Noord-Holland,West-Nederland           ,Zandvoort                          ,52.61666666666667,4.866666666666667,17116,"['52° 37′ NB, 4° 52′ OL']"
1850,1901,Zwaag,Noord-Holland,West-Nederland           ,Hoorn                              ,52.66666666666666,5.083333333333333,16910,"52° 40′ NB, 5° 5′ OL"
1858,1909,Almelo,Overijssel,Oost-Nederland           ,Almelo                             ,52.36666666666667,6.666666666666668,73175,"['52° 22′ NB, 6° 40′ OL']"
1877,1928,Borne,Overijssel,Oost-Nederland           ,Borne                              ,52.3,6.75,23489,"['52° 18′ NB, 6° 45′ OL']"
1884,1936,Colmschate,Overijssel,Oost-Nederland           ,Deventer                           ,52.24888888888889,6.2180555555555586,15685,"['52°14\'56""NB, 6°13\'5""OL']"
1887,1939,Dalfsen,Overijssel,Oost-Nederland           ,Dalfsen                            ,52.5,6.25,14620,"['52° 30′ NB, 6° 15′ OL']"
1889,1941,Dedemsvaart,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.6,6.466666666666668,12780,"['52° 36′ NB, 6° 28′ OL']"
1891,1943,Denekamp,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.38333333333333,7.016666666666668,10110,"['52° 23′ NB, 7° 1′ OL']"
1893,1946,Deventer,Overijssel,Oost-Nederland           ,Deventer                           ,52.25,6.166666666666668,80730,"['52° 15′ NB, 6° 10′ OL']"
1898,1951,Enschede,Overijssel,Oost-Nederland           ,Enschede                           ,52.21666666666667,6.883333333333333,158918,"['52° 13′ NB, 6° 53′ OL']"
1903,1956,Genemuiden,Overijssel,Oost-Nederland           ,Zwartewaterland                    ,52.61666666666667,6.033333333333332,10265,"['52° 37′ NB, 6° 2′ OL']"
1907,1960,Goor,Overijssel,Oost-Nederland           ,Hof van Twente                     ,52.23333333333333,6.583333333333332,12125,"['52° 14′ NB, 6° 35′ OL']"
1910,1963,Haaksbergen,Overijssel,Oost-Nederland           ,Haaksbergen                        ,52.15,6.7333333333333325,24275,"['52° 9′ NB, 6° 44′ OL']"
1915,1968,Hardenberg,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.58333333333334,6.616666666666667,19335,"['52° 35′ NB, 6° 37′ OL']"
1922,1975,Hengelo,Overijssel,Oost-Nederland           ,Hengelo                            ,52.26666666666666,6.783333333333332,81047,"['52° 16′ NB, 6° 47′ OL']"
1933,1986,IJsselmuiden,Overijssel,Oost-Nederland           ,Kampen                             ,52.56666666666667,5.933333333333334,12360,"['52° 34′ NB, 5° 56′ OL']"
1936,1989,Kampen,Overijssel,Oost-Nederland           ,Kampen                             ,52.56666666666667,5.9,36400,"['52° 34′ NB, 5° 54′ OL']"
1949,2003,Losser,Overijssel,Oost-Nederland           ,Losser                             ,52.26666666666666,7.0,13205,"['52° 16′ NB, 7° 0′ OL']"
1965,2020,Nijverdal,Overijssel,Oost-Nederland           ,Hellendoorn                        ,52.36666666666667,6.466666666666668,24745,"['52° 22′ NB, 6° 28′ OL']"
1970,2025,Oldenzaal,Overijssel,Oost-Nederland           ,Oldenzaal                          ,52.3,6.916666666666668,31792,"['52° 18′ NB, 6° 55′ OL']"
1972,2027,Ommen,Overijssel,Oost-Nederland           ,Ommen                              ,52.51666666666666,6.416666666666668,12495,"['52° 31′ NB, 6° 25′ OL']"
1981,2036,Raalte,Overijssel,Oost-Nederland           ,Raalte                             ,52.38333333333333,6.266666666666668,19665,"['52° 23′ NB, 6° 16′ OL']"
1986,2041,Rijssen,Overijssel,Oost-Nederland           ,Rijssen-Holten                     ,52.31666666666667,6.516666666666668,28885,"['52° 19′ NB, 6° 31′ OL']"
1996,2052,Staphorst,Overijssel,Oost-Nederland           ,Staphorst                          ,52.65,6.216666666666668,10540,"['52° 39′ NB, 6° 13′ OL']"
1997,2053,Steenwijk,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.78333333333333,6.133333333333334,17155,"['52° 47′ NB, 6° 8′ OL']"
2009,2065,Vriezenveen,Overijssel,Oost-Nederland           ,Twenterand                         ,52.41666666666666,6.633333333333333,13895,"['52° 25′ NB, 6° 38′ OL']"
2017,2073,Wierden,Overijssel,Oost-Nederland           ,Wierden                            ,52.35,6.583333333333332,24474,"['52° 21′ NB, 6° 35′ OL']"
2028,2084,Zwolle,Overijssel,Oost-Nederland           ,Zwolle                             ,52.51666666666666,6.083333333333332,129213,"['52° 31′ NB, 06° 5′ OL']"
2033,2089,Amersfoort,Utrecht,West-Nederland           ,Amersfoort                         ,52.15,5.383333333333334,157521,"52° 9′ NB, 5° 23′ OL"
2037,2093,Baarn,Utrecht,West-Nederland           ,Baarn                              ,52.21666666666667,5.3,24823,"52° 13′ NB, 5° 18′ OL"
2039,2095,De Bilt,Utrecht,West-Nederland           ,De Bilt                            ,52.11666666666667,5.183333333333334,108000,"52° 7′ NB, 5° 11′ OL"
2040,2096,Bilthoven,Utrecht,West-Nederland           ,De Bilt                            ,52.13333333333333,5.2,22540,"52° 8′ NB, 5° 12′ OL"
2042,2098,Breukelen,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.16666666666666,5.0,10695,"52° 10′ NB, 4° 60′ OL"
2044,2100,Bunschoten-Spakenburg,Utrecht,West-Nederland           ,Bunschoten                         ,52.25,5.366666666666666,21930,"52° 15′ NB, 5° 22′ OL"
2047,2103,Doorn,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.03333333333333,5.35,10215,"52° 2′ NB, 5° 21′ OL"
2048,2104,Driebergen-Rijsenburg,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.05,5.283333333333333,18840,"52° 3′ NB, 5° 17′ OL"
2063,2119,Hoogland,Utrecht,West-Nederland           ,Amersfoort                         ,52.18333333333333,5.366666666666666,10335,"52° 11′ NB, 5° 22′ OL"
2065,2121,Houten,Utrecht,West-Nederland           ,Houten                             ,52.03333333333333,5.166666666666667,50290,"52° 2′ NB, 5° 10′ OL"
2067,2123,IJsselstein,Utrecht,West-Nederland           ,IJsselstein                        ,52.01666666666666,5.05,33851,"52° 1′ NB, 5° 3′ OL"
2075,2131,Leerdam,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.9,5.083333333333333,18520,"51° 54′ NB, 5° 5′ OL"
2077,2133,Leusden,Utrecht,West-Nederland           ,Leusden                            ,52.13333333333333,5.416666666666668,30486,"52° 8′ NB, 05° 25′ OL"
2086,2142,Maarssen,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.13333333333333,5.033333333333333,38510,"52° 8′ NB, 5° 2′ OL"
2089,2145,De Meern,Utrecht,West-Nederland           ,Utrecht                            ,52.08333333333334,5.033333333333333,21764,"52° 5′ NB, 5° 2′ OL"
2090,2146,Mijdrecht,Utrecht,West-Nederland           ,De Ronde Venen                     ,52.2,4.866666666666667,16005,"52° 12′ NB, 4° 52′ OL"
2091,2147,Montfoort,Utrecht,West-Nederland           ,Montfoort                          ,52.03333333333333,4.95,13889,"52° 2′ NB, 4° 57′ OL"
2092,2148,Nieuwegein,Utrecht,West-Nederland           ,Nieuwegein                         ,52.03111111111111,5.091944444444444,63690,"52°1'52""NB, 5°5'31""OL"
2100,2157,Oudewater,Utrecht,West-Nederland           ,Oudewater                          ,52.02694444444445,4.86888888888889,10178,"52°1'37""NB, 4°52'8""OL"
2105,2162,Rhenen,Utrecht,West-Nederland           ,Rhenen                             ,51.95,5.566666666666666,20086,"51° 57′ NB, 5° 34′ OL"
2109,2166,Soest,Utrecht,West-Nederland           ,Soest                              ,52.18333333333333,5.283333333333333,46842,"52°11'NB, 5°17'OL"
2115,2173,Utrecht,Utrecht,West-Nederland           ,Utrecht                            ,52.08333333333334,5.116666666666666,357667,"52° 5′ NB, 05° 7′ OL"
2116,2174,Veenendaal,Utrecht,West-Nederland           ,Veenendaal                         ,52.01666666666666,5.55,66918,"52°1'NB, 5°33'OL"
2117,2175,Vianen,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,52.0,5.1,16360,"52° 0′ NB, 5° 6′ OL"
2119,2177,Vleuten,Utrecht,West-Nederland           ,Utrecht                            ,52.1,5.016666666666667,26458,"52° 6′ NB, 5° 1′ OL"
2124,2182,Wijk bij Duurstede,Utrecht,West-Nederland           ,Wijk bij Duurstede                 ,51.98333333333333,5.333333333333333,23901,"51° 59′ NB, 5° 20′ OL"
2126,2184,Woerden,Utrecht,West-Nederland           ,Woerden                            ,52.08333333333334,4.883333333333333,52558,"52° 5′ NB, 4° 53′ OL"
2127,2185,Woudenberg,Utrecht,West-Nederland           ,Woudenberg                         ,52.06666666666667,5.4,13568,"52° 4′ NB, 05° 24′ OL"
2129,2187,Zeist,Utrecht,West-Nederland           ,Zeist                              ,52.08333333333334,5.233333333333333,64883,"52°5'NB, 5°14'OL"
2154,2213,Goes,Zeeland,West-Nederland           ,Goes                               ,51.5,3.8833333333333333,27865,"['51° 30′ NB, 3° 53′ OL']"
2170,2229,Hulst,Zeeland,West-Nederland           ,Hulst                              ,51.28333333333333,4.05,11025,"['51° 17′ NB, 4° 3′ OL']"
2190,2250,Middelburg,Zeeland,West-Nederland           ,Middelburg                         ,51.5,3.616666666666666,41875,"['51° 30′ NB, 3° 37′ OL']"
2202,2262,Oostkapelle,Zeeland,West-Nederland           ,Veere                              ,51.46666666666667,3.6,10225,"['51° 28′ NB, 3° 36′ OL']"
2234,2294,Terneuzen,Zeeland,West-Nederland           ,Terneuzen                          ,51.31666666666667,3.8333333333333335,25485,"['51° 19′ NB, 3° 50′ OL']"
2237,2297,Vlissingen,Zeeland,West-Nederland           ,Vlissingen                         ,51.45,3.583333333333333,44132,"['51° 27′ NB, 3° 35′ OL']"
2251,2311,Zierikzee,Zeeland,West-Nederland           ,Schouwen-Duiveland                 ,51.65,3.9166666666666665,11345,"['51° 39′ NB, 3° 55′ OL']"
2260,2320,Alblasserdam,Zuid-Holland,West-Nederland           ,Alblasserdam                       ,51.86666666666667,4.666666666666667,20221,"['51° 52′ NB, 4° 40′ OL']"
2261,2321,Alphen aan den Rijn,Zuid-Holland,West-Nederland           ,Alphen aan den Rijn                ,52.13333333333333,4.65,72875,"52° 8′ NB, 4° 39′ OL"
2264,2324,Barendrecht,Zuid-Holland,West-Nederland           ,Barendrecht                        ,51.85,4.533333333333333,48654,"51° 51′ NB, 4° 32′ OL"
2267,2327,Bergschenhoek,Zuid-Holland,West-Nederland           ,Lansingerland                      ,51.98333333333333,4.5,18465,"['51° 59′ NB, 4° 30′ OL']"
2268,2328,Berkel en Rodenrijs,Zuid-Holland,West-Nederland           ,Lansingerland                      ,52.0,4.466666666666667,31100,"51° 60′ NB, 4° 28′ OL"
2270,2330,Bleiswijk,Zuid-Holland,West-Nederland           ,Lansingerland                      ,52.01666666666666,4.533333333333333,12065,"['52° 1′ NB, 4° 32′ OL']"
2272,2332,Bodegraven,Zuid-Holland,West-Nederland           ,Bodegraven-Reeuwijk                ,52.08333333333334,4.75,18645,"['52° 5′ NB, 4° 45′ OL']"
2274,2334,Boskoop,Zuid-Holland,West-Nederland           ,Alphen aan den Rijn                ,52.08333333333334,4.55,16005,"['52° 5′ NB, 4° 33′ OL']"
2276,2337,Brielle,Zuid-Holland,West-Nederland           ,Brielle                            ,51.88333333333333,4.183333333333334,17378,"['51° 53′ NB, 4° 11′ OL']"
2277,2338,Capelle aan den IJssel,Zuid-Holland,West-Nederland           ,Capelle aan den IJssel             ,51.93333333333333,4.583333333333333,67142,"51° 56′ NB, 4° 35′ OL"
2280,2341,Delft,Zuid-Holland,West-Nederland           ,Delft                              ,52.01666666666666,4.35,103037,"['52° 1′ NB, 4° 21′ OL']"
2282,2343,Dordrecht,Zuid-Holland,West-Nederland           ,Dordrecht                          ,51.8,4.666666666666667,119342,"['51° 48′ NB, 4° 40′ OL']"
2288,2350,Gorinchem,Zuid-Holland,West-Nederland           ,Gorinchem                          ,51.83333333333334,4.966666666666667,37372,"['51° 50′ NB, 4° 58′ OL']"
2289,2351,Gouda,Zuid-Holland,West-Nederland           ,Gouda                              ,52.01666666666666,4.7,73540,"['52° 1′ NB, 4° 42′ OL']"
2294,2356,'s-Gravenhage,Zuid-Holland,West-Nederland           ,'s-Gravenhage                      ,52.08333333333334,4.3,545863,"52° 5′ NB, 4° 18′ OL"
2295,2357,'s-Gravenzande,Zuid-Holland,West-Nederland           ,Westland                           ,52.0,4.166666666666667,21800,"52° 0′ NB, 4° 10′ OL"
2298,2360,Hardinxveld-Giessendam,Zuid-Holland,West-Nederland           ,Hardinxveld-Giessendam             ,51.83333333333334,4.833333333333333,18460,"['51° 50′ NB, 4° 50′ OL']"
2306,2368,Hellevoetsluis,Zuid-Holland,West-Nederland           ,Hellevoetsluis                     ,51.83333333333334,4.133333333333334,40198,"['51° 50′ NB, 4° 8′ OL']"
2307,2369,Hendrik-Ido-Ambacht,Zuid-Holland,West-Nederland           ,Hendrik-Ido-Ambacht                ,51.85,4.633333333333333,31311,"['51° 51′ NB, 4° 38′ OL']"
2309,2371,Hillegom,Zuid-Holland,West-Nederland           ,Hillegom                           ,52.3,4.583333333333333,22210,"['52° 18′ NB, 4° 35′ OL']"
2310,2372,Hoek van Holland,Zuid-Holland,West-Nederland           ,Rotterdam                          ,51.98333333333333,4.133333333333334,10200,"51° 59′ NB, 4° 8′ OL"
2314,2376,Hoogvliet Rotterdam,Zuid-Holland,West-Nederland           ,Rotterdam                          ,51.86666666666667,4.35,34495,"51° 52′ NB, 4° 21′ OL"
2318,2380,Katwijk,Zuid-Holland,West-Nederland           ,Katwijk                            ,52.2,4.4,65929,"52° 12′ NB, 4° 24′ OL"
2323,2385,Krimpen aan den IJssel,Zuid-Holland,West-Nederland           ,Krimpen aan den IJssel             ,51.91666666666666,4.6,29452,"51° 55′ NB, 4° 36′ OL"
2326,2388,Leiden,Zuid-Holland,West-Nederland           ,Leiden                             ,52.15,4.483333333333333,123655,"['52° 9′ NB, 4° 29′ OL']"
2327,2389,Leiderdorp,Zuid-Holland,West-Nederland           ,Leiderdorp                         ,52.15,4.533333333333333,27304,"['52° 9′ NB, 4° 32′ OL']"
2328,2390,Leidschendam,Zuid-Holland,West-Nederland           ,Leidschendam-Voorburg              ,52.08333333333334,4.4,33770,"['52° 5′ NB, 4° 24′ OL']"
2331,2393,De Lier,Zuid-Holland,West-Nederland           ,Westland                           ,51.98333333333333,4.25,12395,"51° 59′ NB, 4° 15′ OL"
2332,2394,Lisse,Zuid-Holland,West-Nederland           ,Lisse                              ,52.25,4.55,22983,"['52° 15′ NB, 4° 33′ OL']"
2336,2398,Maassluis,Zuid-Holland,West-Nederland           ,Maassluis                          ,51.93333333333333,4.25,33336,"['51° 56′ NB, 4° 15′ OL']"
2342,2405,Monster,Zuid-Holland,West-Nederland           ,Westland                           ,52.03333333333333,4.166666666666667,13995,"['52° 2′ NB, 4° 10′ OL']"
2345,2408,Naaldwijk,Zuid-Holland,West-Nederland           ,Westland                           ,52.0,4.216666666666667,21335,"['52° 0′ NB, 4° 13′ OL']"
2349,2412,Nieuwerkerk aan den IJssel,Zuid-Holland,West-Nederland           ,Zuidplas                           ,51.96666666666667,4.616666666666667,21560,"51° 58′ NB, 4° 37′ OL"
2351,2414,Nieuwkoop,Zuid-Holland,West-Nederland           ,Nieuwkoop                          ,52.15,4.8,29021,"['52° 9′ NB, 4° 48′ OL']"
2357,2420,Noordwijk,Zuid-Holland,West-Nederland           ,Noordwijk                          ,52.25,4.433333333333334,43733,"['52° 15′ NB, 4° 26′ OL']"
2358,2421,Noordwijkerhout,Zuid-Holland,West-Nederland           ,Noordwijk                          ,52.26666666666666,4.5,14720,"['52° 16′ NB, 4° 30′ OL']"
2359,2422,Nootdorp,Zuid-Holland,West-Nederland           ,Pijnacker-Nootdorp                 ,52.03333333333333,4.4,19135,"['52° 2′ NB, 4° 24′ OL']"
2361,2424,Oegstgeest,Zuid-Holland,West-Nederland           ,Oegstgeest                         ,52.18333333333333,4.466666666666667,24972,"['52° 11′ NB, 4° 28′ OL']"
2367,2430,Oud-Beijerland,Zuid-Holland,West-Nederland           ,Hoeksche Waard                     ,51.81666666666667,4.4,24355,"['51° 49′ NB, 4° 24′ OL']"
2373,2436,Papendrecht,Zuid-Holland,West-Nederland           ,Papendrecht                        ,51.83333333333334,4.7,32095,"['51° 50′ NB, 4° 42′ OL']"
2376,2439,Pijnacker,Zuid-Holland,West-Nederland           ,Pijnacker-Nootdorp                 ,52.01666666666666,4.433333333333334,26060,"['52° 1′ NB, 4° 26′ OL']"
2382,2445,Ridderkerk,Zuid-Holland,West-Nederland           ,Ridderkerk                         ,51.86666666666667,4.6,46576,"[""51°52'NB, 4°36'OL""]"
2384,2447,Rijnsburg,Zuid-Holland,West-Nederland           ,Katwijk                            ,52.18333333333333,4.433333333333334,16250,"['52° 11′ NB, 4° 26′ OL']"
2386,2449,Rijswijk,Zuid-Holland,West-Nederland           ,Rijswijk                           ,52.03333333333333,4.316666666666666,54855,"[""52°2'NB, 4°19'OL""]"
2389,2452,Rotterdam,Zuid-Holland,West-Nederland           ,Rotterdam                          ,51.91666666666666,4.5,581750,"['51° 55′ NB, 4° 30′ OL']"
2390,2454,Rozenburg,Zuid-Holland,West-Nederland           ,Rotterdam                          ,51.9,4.25,12365,"['51° 54′ NB, 4° 15′ OL']"
2391,2455,Sassenheim,Zuid-Holland,West-Nederland           ,Teylingen                          ,52.23333333333333,4.516666666666667,15760,"['52° 14′ NB, 4° 31′ OL']"
2393,2457,Schiedam,Zuid-Holland,West-Nederland           ,Schiedam                           ,51.91666666666666,4.4,79003,"['51° 55′ NB, 4° 24′ OL']"
2395,2459,Schoonhoven,Zuid-Holland,West-Nederland           ,Krimpenerwaard                     ,51.95,4.85,12930,"['51° 57′ NB, 4° 51′ OL']"
2397,2461,Sliedrecht,Zuid-Holland,West-Nederland           ,Sliedrecht                         ,51.81666666666667,4.766666666666667,25350,"['51° 49′ NB, 4° 46′ OL']"
2399,2463,Spijkenisse,Zuid-Holland,West-Nederland           ,Nissewaard                         ,51.83333333333334,4.316666666666666,71885,"['51° 50′ NB, 4° 19′ OL']"
2408,2473,Vlaardingen,Zuid-Holland,West-Nederland           ,Vlaardingen                        ,51.91666666666666,4.35,73758,"['51° 55′ NB, 4° 21′ OL']"
2410,2476,Voorburg,Zuid-Holland,West-Nederland           ,Leidschendam-Voorburg              ,52.06666666666667,4.366666666666666,41690,"['52° 4′ NB, 4° 22′ OL']"
2411,2477,Voorhout,Zuid-Holland,West-Nederland           ,Teylingen                          ,52.21666666666667,4.483333333333333,16535,"['52° 13′ NB, 4° 29′ OL']"
2412,2478,Voorschoten,Zuid-Holland,West-Nederland           ,Voorschoten                        ,52.11666666666667,4.433333333333334,25602,"[""52°7'NB, 4°26'OL""]"
2416,2482,Waddinxveen,Zuid-Holland,West-Nederland           ,Waddinxveen                        ,52.03333333333333,4.633333333333333,29906,"['52° 2′ NB, 4° 38′ OL']"
2418,2484,Wassenaar,Zuid-Holland,West-Nederland           ,Wassenaar                          ,52.15,4.383333333333334,26490,"['52° 9′ NB, 4° 23′ OL']"
2419,2485,Wateringen,Zuid-Holland,West-Nederland           ,Westland                           ,52.01666666666666,4.283333333333333,15910,"['52° 1′ NB, 4° 17′ OL']"
2427,2493,Zoetermeer,Zuid-Holland,West-Nederland           ,Zoetermeer                         ,52.05,4.5,125247,"['52° 3′ NB, 4° 30′ OL']"
2433,2499,Zwijndrecht,Zuid-Holland,West-Nederland           ,Zwijndrecht                        ,51.81666666666667,4.65,44641,"['51° 49′ NB, 4° 39′ OL']"
